Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
83500,0.02564271240994334,0.9913,49565.0,0.054107671651616694,0.9876,9876.0,0.05118036387190223,0.9867,9867.0,253.33487701416016
84000,0.023084176185801625,0.99274,49637.0,0.057726932135783136,0.9867,9867.0,0.05356323880702257,0.9855,9855.0,254.82193613052368
84500,0.026391913778930902,0.99116,49558.0,0.0552499446593225,0.9866,9866.0,0.050468934269901365,0.987,9870.0,256.31043910980225
85000,0.0237708028139174,0.99252,49626.0,0.05562969636842609,0.9863,9863.0,0.052328920674696563,0.9865,9865.0,257.800940990448
85500,0.02452418510824442,0.9917,49585.0,0.053286552271805704,0.9877,9877.0,0.05471325044259429,0.9862,9862.0,259.29135608673096
86000,0.027772989766448736,0.99104,49552.0,0.05372379477322101,0.9866,9866.0,0.05306313734613359,0.9861,9861.0,260.7826611995697
86500,0.027853550937399267,0.99036,49518.0,0.054396685667335985,0.987,9870.0,0.052775046821683644,0.9853,9853.0,262.2744619846344
87000,0.02328991556636989,0.99204,49602.0,0.05690157769173384,0.9875,9875.0,0.05581859825011343,0.9864,9864.0,263.7679500579834
87500,0.024235289161652327,0.99248,49624.0,0.05455076819304377,0.9873,9873.0,0.05217194336019457,0.9863,9863.0,265.2613980770111
88000,0.023767869731485845,0.99208,49604.0,0.053658159342035654,0.9873,9873.0,0.051699995805695655,0.9865,9865.0,266.75156021118164
88500,0.025412998589426278,0.99168,49584.0,0.05491066301092506,0.9869,9869.0,0.05212316224807873,0.986,9860.0,268.2408502101898
89000,0.02355900474652648,0.9916,49580.0,0.05425052722170949,0.9876,9876.0,0.05380710140671581,0.9864,9864.0,269.732460975647
89500,0.026120650860369205,0.99144,49572.0,0.05560167996305972,0.9863,9863.0,0.05258095123432577,0.9864,9864.0,271.22369718551636
90000,0.024473697510808707,0.99212,49606.0,0.05358167181499302,0.987,9870.0,0.052467454719729724,0.9863,9863.0,272.71586418151855
90500,0.026784061815291645,0.99156,49578.0,0.055893562291143464,0.9859,9859.0,0.05094924293458462,0.9864,9864.0,274.6393051147461
91000,0.024702426663637162,0.9921,49605.0,0.05382847232539207,0.9873,9873.0,0.0491113165024668,0.9872,9872.0,276.1300070285797
91500,0.02491752539590001,0.99174,49587.0,0.05314418887291104,0.9867,9867.0,0.05258653855845332,0.9859,9859.0,277.62173318862915
92000,0.02403953160174191,0.99224,49612.0,0.056459199235588314,0.9863,9863.0,0.05418281361311674,0.9864,9864.0,279.11407017707825
92500,0.025714260314181447,0.99158,49579.0,0.05406460257191211,0.987,9870.0,0.052381139988824724,0.9865,9865.0,280.6069390773773
93000,0.023256442541778086,0.99246,49623.0,0.05253969751121476,0.9872,9872.0,0.050201937769539656,0.9872,9872.0,282.10212802886963
93500,0.022547671203911303,0.99282,49641.0,0.05291661042496562,0.9873,9873.0,0.052271175852417945,0.9866,9866.0,283.59760999679565
94000,0.025159233712032436,0.99136,49568.0,0.05356576086692512,0.9867,9867.0,0.053182406402472404,0.9866,9866.0,285.09133315086365
94500,0.022944529948458074,0.99244,49622.0,0.053704409647360445,0.9874,9874.0,0.05234303911924362,0.9866,9866.0,286.58278012275696
95000,0.024800473095029592,0.9915,49575.0,0.05419584557386115,0.9869,9869.0,0.05280718994382769,0.9864,9864.0,288.0755879878998
95500,0.026083396575003862,0.99168,49584.0,0.05864996944069863,0.986,9860.0,0.05069643680099398,0.9872,9872.0,289.5697400569916
96000,0.022451071845963597,0.99264,49632.0,0.0542387569334358,0.9874,9874.0,0.050973617290891705,0.9875,9875.0,291.064316034317
96500,0.022295268658846616,0.99248,49624.0,0.05366255049472675,0.987,9870.0,0.051954172403365376,0.9861,9861.0,292.5513391494751
97000,0.02369382173128426,0.99216,49608.0,0.053868992154300216,0.9873,9873.0,0.050268267249688504,0.9873,9873.0,294.0411100387573
97500,0.02205759417153895,0.99262,49631.0,0.055905568622611465,0.9872,9872.0,0.04904143351390958,0.9873,9873.0,295.53123021125793
98000,0.025118985288739206,0.9918,49590.0,0.05076554037220776,0.988,9880.0,0.05278007318936288,0.9864,9864.0,297.02620816230774
98500,0.02493692430987954,0.9917,49585.0,0.05536223318316042,0.9868,9868.0,0.05642585298079066,0.9859,9859.0,298.5211181640625
99000,0.023539885227382183,0.9927,49635.0,0.052315902393497524,0.9873,9873.0,0.05105540900360793,0.9871,9871.0,300.01670002937317
99500,0.02269184214860201,0.99266,49633.0,0.05764918589890003,0.9862,9862.0,0.0544656031223014,0.9862,9862.0,301.51172614097595
100000,0.02371107504822314,0.99198,49599.0,0.054472977049276235,0.9879,9879.0,0.052269209847040476,0.9863,9863.0,303.0059959888458
100500,0.024271025989204643,0.99178,49589.0,0.05439014582466334,0.9873,9873.0,0.05166365141682327,0.9864,9864.0,304.93184900283813
101000,0.024069891825765372,0.99208,49604.0,0.05306823523100466,0.9871,9871.0,0.05078561637476087,0.9857,9857.0,306.4254701137543
101500,0.025068226811699568,0.99164,49582.0,0.055347893261164426,0.9873,9873.0,0.051685929121077064,0.9867,9867.0,307.9206590652466
102000,0.02360169424921274,0.9919,49595.0,0.05357078948058188,0.9883,9883.0,0.05190972408372909,0.9868,9868.0,309.4155490398407
