Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
64000,0.14698107545852662,0.9511,47555.0,,,,0.748346997833252,0.7922,7922.0,4372.86718416214
64500,0.1395947912836075,0.95406,47703.0,,,,0.7989486431121826,0.7921,7921.0,4399.152570009232
65000,0.1424132816505432,0.9543,47715.0,,,,0.7408829288482666,0.7978,7978.0,4425.3933091163635
65500,0.14240332031726838,0.95316,47658.0,,,,0.7965901124954223,0.7864,7864.0,4451.671507120132
66000,0.13803114542007447,0.9542,47710.0,,,,0.7612063983917237,0.8013,8013.0,4477.95632314682
66500,0.13384364614009858,0.95686,47843.0,,,,0.7783030624389649,0.7948,7948.0,4504.28523516655
67000,0.14307156821250916,0.95222,47611.0,,,,0.7574055149078369,0.7996,7996.0,4530.511402130127
67500,0.13677285857200622,0.95516,47758.0,,,,0.7784704399108887,0.7944,7944.0,4556.776489019394
68000,0.13220767667770386,0.9564,47820.0,,,,0.7465220991134643,0.797,7970.0,4582.971545934677
68500,0.1308370105457306,0.95754,47877.0,,,,0.7597948097229004,0.7919,7919.0,4609.366088151932
69000,0.13016554783582687,0.9564,47820.0,,,,0.7636693176269531,0.7972,7972.0,4635.587454080582
69500,0.13515211066007615,0.95522,47761.0,,,,0.7623184471130371,0.794,7940.0,4661.842698097229
70000,0.13080962374687194,0.95636,47818.0,,,,0.7870406452178955,0.7876,7876.0,4688.0757739543915
70500,0.136801691699028,0.95434,47717.0,,,,0.7915362350463867,0.792,7920.0,4714.3204181194305
71000,0.1311049397993088,0.95778,47889.0,,,,0.7627222717285156,0.7999,7999.0,4740.57297706604
71500,0.12761878423690795,0.95788,47894.0,,,,0.7701805278778077,0.7961,7961.0,4766.804952144623
72000,0.12969469873428344,0.95754,47877.0,,,,0.7797815383911133,0.7919,7919.0,4793.140643119812
72500,0.1258498901605606,0.95792,47896.0,,,,0.77687119140625,0.7949,7949.0,4819.3812520504
73000,0.12138347281575203,0.9607,48035.0,,,,0.7801339435577392,0.7957,7957.0,4845.6507251262665
73500,0.12010344837665558,0.95994,47997.0,,,,0.7705627613067627,0.7935,7935.0,4871.909790992737
74000,0.12059894743442535,0.96094,48047.0,,,,0.7782308898925782,0.7995,7995.0,4898.173845052719
74500,0.12412963057518005,0.95928,47964.0,,,,0.7537629974365234,0.7927,7927.0,4924.69341301918
75000,0.1234405444931984,0.95964,47982.0,,,,0.7777213340759277,0.794,7940.0,4950.96474814415
75500,0.11526199148654938,0.9624,48120.0,,,,0.8127401699066162,0.7883,7883.0,4977.268509149551
76000,0.1211808278799057,0.96026,48013.0,,,,0.7818899768829346,0.7962,7962.0,5003.572427988052
76500,0.11355819806575775,0.96228,48114.0,,,,0.7844619651794433,0.7989,7989.0,5029.82549905777
77000,0.1234380224275589,0.9593,47965.0,,,,0.7715329956054687,0.7929,7929.0,5056.066672086716
77500,0.118551191573143,0.96048,48024.0,,,,0.7971594062805176,0.7955,7955.0,5082.323297023773
78000,0.11954253448009491,0.9599,47995.0,,,,0.7882277366638184,0.796,7960.0,5108.587366104126
78500,0.11931173728466034,0.96068,48034.0,,,,0.7765983318328857,0.7979,7979.0,5134.860247135162
79000,0.12078189242601395,0.96122,48061.0,,,,0.7967762050628662,0.7914,7914.0,5161.282562971115
79500,0.11549101845264435,0.96252,48126.0,,,,0.7803397464752198,0.7984,7984.0,5187.508206129074
80000,0.11808666920185089,0.96244,48122.0,,,,0.7732221565246582,0.8019,8019.0,5213.776916980743
80500,0.11279458657741546,0.96356,48178.0,,,,0.8141864139556885,0.7908,7908.0,5240.026921987534
81000,0.11895781218051911,0.96166,48083.0,,,,0.7683861938476563,0.8012,8012.0,5266.307031154633
81500,0.11453621709823608,0.9624,48120.0,,,,0.7605108825683594,0.801,8010.0,5292.539608955383
82000,0.11536676991462708,0.9625,48125.0,,,,0.7583593648910523,0.8003,8003.0,5318.854194164276
82500,0.11298592824459076,0.96372,48186.0,,,,0.7769551937103272,0.7927,7927.0,5345.105581998825
83000,0.10777133426904678,0.96578,48289.0,,,,0.8134432411193848,0.7934,7934.0,5371.461854934692
83500,0.10848027417898178,0.96506,48253.0,,,,0.7745230026245117,0.7977,7977.0,5397.772645950317
84000,0.10472622490882874,0.96566,48283.0,,,,0.780274866104126,0.7977,7977.0,5424.023468017578
84500,0.10624025718212128,0.96508,48254.0,,,,0.7949267444610596,0.7983,7983.0,5450.298995018005
85000,0.10622095693111419,0.9653,48265.0,,,,0.7990939197540283,0.7935,7935.0,5476.617378950119
85500,0.10953135926961899,0.96366,48183.0,,,,0.7827521114349365,0.7984,7984.0,5502.926744937897
86000,0.10689126198768616,0.96508,48254.0,,,,0.7752974220275879,0.7979,7979.0,5529.231304168701
86500,0.10223582912683488,0.9667,48335.0,,,,0.7503197734832764,0.7987,7987.0,5555.527722120285
87000,0.10469707281112671,0.96582,48291.0,,,,0.7821343997955322,0.7975,7975.0,5581.827123165131
87500,0.10659577779054642,0.9645,48225.0,,,,0.789156358718872,0.7944,7944.0,5608.076524019241
88000,0.10421001729011535,0.96538,48269.0,,,,0.8168743026733398,0.7911,7911.0,5634.31676697731
88500,0.104307271566391,0.96574,48287.0,,,,0.788393436050415,0.7937,7937.0,5660.598551988602
89000,0.09974320327758789,0.96654,48327.0,,,,0.8093129611968994,0.7949,7949.0,5687.045012950897
89500,0.102240725004673,0.9665,48325.0,,,,0.7827388416290283,0.7948,7948.0,5713.279605150223
90000,0.10166302389383317,0.96618,48309.0,,,,0.8038766494750976,0.7931,7931.0,5739.592113018036
90500,0.1021703225326538,0.96672,48336.0,,,,0.8298070220947266,0.7908,7908.0,5765.847083091736
91000,0.10071442963123321,0.96712,48356.0,,,,0.8314249542236328,0.7929,7929.0,5792.165821075439
91500,0.10136866178750992,0.96742,48371.0,,,,0.8049811515808105,0.7969,7969.0,5818.435585975647
92000,0.09567501956462861,0.96864,48432.0,,,,0.8055603675842286,0.7968,7968.0,5844.713145017624
92500,0.09761970236301422,0.96806,48403.0,,,,0.8191299160003662,0.7952,7952.0,5870.952199935913
93000,0.1004864845252037,0.96672,48336.0,,,,0.7962135231018066,0.7994,7994.0,5897.29301905632
93500,0.10185441085100173,0.96658,48329.0,,,,0.8147523246765137,0.7949,7949.0,5923.5646460056305
94000,0.10145092320680618,0.9668,48340.0,,,,0.7877142612457275,0.7961,7961.0,5949.78848695755
94500,0.0991716347360611,0.96772,48386.0,,,,0.7954467826843262,0.7969,7969.0,5976.061781167984
95000,0.09991394617080689,0.96846,48423.0,,,,0.8432199188232422,0.7841,7841.0,6002.307650089264
95500,0.10145665540933609,0.9669,48345.0,,,,0.7919571506500244,0.7903,7903.0,6028.576946973801
96000,0.09852128122329712,0.96814,48407.0,,,,0.803696607208252,0.7989,7989.0,6054.876275062561
96500,0.0973468556022644,0.96864,48432.0,,,,0.8141120399475098,0.7946,7946.0,6081.146062135696
97000,0.09361300450325012,0.9684,48420.0,,,,0.7861132457733154,0.8016,8016.0,6107.410446166992
97500,0.09474327539801597,0.9689,48445.0,,,,0.831751469039917,0.7902,7902.0,6133.789273023605
98000,0.09006470564365388,0.97068,48534.0,,,,0.775395161819458,0.7976,7976.0,6159.999761104584
98500,0.0946180986070633,0.9688,48440.0,,,,0.8024407844543457,0.7969,7969.0,6186.292761087418
99000,0.09493706743478775,0.96958,48479.0,,,,0.8648934341430664,0.7904,7904.0,6212.574161052704
99500,0.09118384148836135,0.97002,48501.0,,,,0.838352453994751,0.7921,7921.0,6238.875926971436
100000,0.09466861792325973,0.96902,48451.0,,,,0.8538046787261963,0.7867,7867.0,6265.331828117371
