Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
30500,0.012040898488163948,0.99986,49993.0,0.06333513475656509,0.9819,9819.0,0.05583339786529541,0.9825,9825.0,2460.7940340042114
31000,0.012014556187987328,0.99978,49989.0,0.06378323185443878,0.9818,9818.0,0.05567397946715355,0.9825,9825.0,2501.3084421157837
31500,0.012012596969604493,0.99986,49993.0,0.06338368439674377,0.9815,9815.0,0.055896548423171044,0.9821,9821.0,2541.7446200847626
32000,0.01204473288178444,0.99978,49989.0,0.06368557081222534,0.982,9820.0,0.05620694444775581,0.9817,9817.0,2582.2075600624084
32500,0.01201813150882721,0.9998,49990.0,0.06336424949169159,0.9817,9817.0,0.05539716317653656,0.9824,9824.0,2622.771553993225
33000,0.012008029425740242,0.99982,49991.0,0.0631434887290001,0.9816,9816.0,0.05522887828946114,0.9821,9821.0,2663.3432869911194
33500,0.01200727190375328,0.99984,49992.0,0.06329578878879547,0.982,9820.0,0.055557660084962844,0.9822,9822.0,2704.098428964615
34000,0.012037463116645813,0.9998,49990.0,0.06393266323208809,0.9818,9818.0,0.05627596172094345,0.9817,9817.0,2744.618345975876
34500,0.012017952222824096,0.99986,49993.0,0.0634481835603714,0.9817,9817.0,0.05538320022821426,0.9821,9821.0,2785.0235271453857
35000,0.012028850532174111,0.99986,49993.0,0.06316588069200516,0.9814,9814.0,0.05526974086761475,0.9822,9822.0,2825.556636095047
35500,0.012025815020203591,0.99982,49991.0,0.06341848269701005,0.9816,9816.0,0.05540153042674065,0.9816,9816.0,2865.9906771183014
36000,0.01204702888816595,0.99986,49993.0,0.0633039450287819,0.9812,9812.0,0.055656091231107714,0.9817,9817.0,2906.1631031036377
36500,0.012026593718528747,0.99982,49991.0,0.06359084346294402,0.9819,9819.0,0.05557707763910293,0.9821,9821.0,2946.4200620651245
37000,0.012029440908432007,0.9998,49990.0,0.06321355487704278,0.9816,9816.0,0.0554682232439518,0.9819,9819.0,2986.6215031147003
37500,0.012017693632245063,0.99986,49993.0,0.06338888394236565,0.9818,9818.0,0.05573372126817703,0.982,9820.0,3026.881726026535
